nummer;artiest;titel
712;Steernvanger;Loat moar zitten die snei
711;Erwin de Vries;Boer en ondernemer
710;Edith Piaf;Non je ne regrette rien
709;Bon Jovi;It's my life
708;Het Goede Doel;Belgi‰ (is er leven op Pluto...?)
707;Janis Joplin;Mercedes Benz
706;Ede Staal;When the waves are too high
705;Andr‚ Hazes;'n Beetje verliefd
704;Lucifer;House for sale
703;Hannah Mae & Maksim;Ik wil dat je liegt
702;Freddy Quinn;Junge komm bald wieder
701;Robert van Hemert;Zoet, zout, zuur
700;Waylon & Jan Smit;Tussen jou en mij
699;Elton John;Circle of life
698;B‚ Schmaal;Zunder muite gait t nait
697;Irene Wilkens & Suze;Ongeoorloofde gedachten
696;Suzan & Freek;Blauwe dag
695;Wat Aans!;Woisjawel!
694;De Kast;Hart van mijn gevoel
693;Bee Gees;Stayin' alive
692;Erwin de Vries;Tussen Schanse en Stad
691;Wia Buze & Erwin de Vries;Ol Grait
690;Queen;Killer queen
689;Karin Bloemen;Geen kind meer
688;De Tuutjefloiters;Ik hol van mien laand
687;Ede Staal;Grunnegers veur gevorderden
686;Neil Diamond;I am... I said
685;Bram Vermeulen;De steen
684;Rob de Nijs;Ritme van de regen
683;Normaal;Mama woar is mien pils
682;Queen;Thank god it's Christmas
681;Frans Halsema & Jenny Arean;Vluchten kan niet meer
680;Cuby & The Blizzards;Another day, another road
679;Dolly Parton;I will always love you
678;Eagles;One of these nights
677;Stad;Beter as gewoon
676;The Kinks;Lola
675;Queen;Innuendo
674;Jetta Post & Maggelan Singers;Deur weer en wind mien stad
673;Within Temptation;Ice queen
672;Johnny Cash;A boy named Sue
671;Wat Aans!;Half stront, half reeg'nwotter
670;Meat Loaf;You took the words right out of my mouth
669;Frans Bauer;Heb je even voor mij
668;Erwin de Vries;Dicht bie mie
667;Simon & Garfunkel;Cecilia
666;Arno van der Heyden;Schoapen
665;Wia Buze;Doe heurst bie mie
664;P‚ Daalemmer & Rooie Rinus;Zo ain as doe
663;Neil Young;Heart of gold
662;Coldplay;Christmas lights
661;De Tuutjefloiters;Veul zegen
660;The Cats;Vaya con dios
659;Johnny Cash;A thing called love
658;Cat Stevens;Morning has broken
657;Henk Wijngaard;Kijk uit hier ben ik
656;The Hollies;The air that I breathe
655;Queen;The show must go on
654;P‚ Daalemmer & Rooie Rinus;Jochem
653;Tom Jones;Green green grass of home
652;Supertramp;School
651;Daisz;Wat wil je echt
650;Drukwerk;Je loog tegen mij
649;B‚ Schmaal;Regenpak
648;Ike & Tina Turner;River deep mountain high
647;Jan Henk de Groot;Spiekerboor
646;Burdy;Rosalita, ik ben verliefd
645;Nick & Simon;De soldaat
644;Fleetwood Mac;Don't stop
643;De Stroatklinkers;Meneer van de belasten
642;Voorheen De Bende & Pazzipanten;Grunneger bloarkop (boer kaist kou)
641;Dani‰l Lohues;Annelie
640;BZN;The old Calahan
639;De Dijk;Bloedend hart
638;Alje van Bolhuis;Jong van Bolhoes
637;Kayak;Ruthless queen
636;Armand;Ben ik te min
635;Golden Earring;Going to the run
634;De Tuutjefloiters;Twij recht en twij noadjes
633;John Denver;Leaving on a jet plane
632;Lianne Abeln;Groningen, Grunnen mien stad
631;Burdy;Goodbye Eloisa
630;Percy Sledge;When a man loves a woman
629;Eagles;Lyin' eyes
628;The Righteous Brothers;Unchained melody
627;Corry Konings;Mooi was die tijd
626;Yves Berendse feat. Emma Heesters;Alleen met jou
625;Golden Earring;Long blond animal
624;Robert Long & Simone Kleinsma;Vanmorgen vloog ze nog
623;P‚ Daalemmer & Rooie Rinus;Gezina
622;Fox the Fox;Precious little diamond
621;Marlene Bakker;Doe waist beter
620;The Beach Boys;God only knows
619;Erwin de Vries;Nije m”rn
618;Swinder;Twijde Hans
617;Dani‰l Lohues;Allennig
616;Guns n' Roses;Paradise city
615;Guus Meeuwis & Vagant;Het is een nacht... (levensecht)
614;P‚ Daalemmer & Rooie Rinus;Worst
613;Ed Sheeran;Perfect
612;Simone Kleinsma & Paul de Leeuw;Zonder jou
611;Bee Gees;Tragedy
610;Andr‚ Hazes;Zeg maar niets meer
609;Joe Cocker;With a little help from my friends
608;Herman van Veen;Anne
607;R.E.M.;Everybody hurts
606;Chris de Burgh;Lady in red
605;Driefzand;Doagen as dizze
604;The Cats;Let's dance
603;Boudewijn de Groot;Een meisje van zestien
602;Brontsema & Staal;Neem me mee
601;Burdy;Hey FC Groningen
600;Meau;Stukje van mij
599;Alex Vissering;As ik thoes kom
598;Willie Nelson;Always on my mind
597;Daisz;Wat als ik zeg
596;Led Zeppelin;Whole lotta love
595;Marlene Bakker;Zo-as beloofd
594;Steernvanger;Vandoage komt
593;Coldplay;Clocks
592;B‚ Schmaal;Woorden zeggen nait alles
591;Plat;Zuurkool
590;Gerry & The Pacemakers;You'll never walk alone
589;Harry Niehof;Caf‚ op Driefklaai
588;Ancora;Hoog in 't Noorden
587;Bryan Adams;(Everything I do) I do it for you
586;I.O.S.;Altied wel aine
585;Abel;Onderweg
584;Status Quo;Down down
583;Wat Aans!;Ik ben een G
582;Nick & Simon;Pak maar m'n hand
581;Jannes;Van Casablanca naar Napoli
580;The Shadows;Apache
579;Burdy;Bring mie thoes Waddenzee
578;Marlene Bakker;Astoe t zain haarst
577;Henk Wijngaard;Ik heb 'n truck als m'n woning
576;Sijtse Scheeringa;Bloumen mien laive schat
575;Clouseau;Daar gaat ze
574;Mud;Lonely this Christmas
573;Jan Henk de Groot;De drij van Woudbloem
572;Alphaville;Forever young
571;Erwin de Vries;Zummer in Oost Grunnen
570;Golden Earring;Back home
569;Steernvanger;15 joar
568;Queen;Don't stop me now
567;Wat Aans!;Mien poedie
566;Bob Dylan;Blowin' in the wind
565;Alex Vissering;Hoeln as n wolf
564;Son Mieux;Tonight
563;Lucas & Gea Hulshof;Als ik die wat vroag
562;Twarres;Wˆr bisto
561;The Amazing Stroopwafels;Oude Maasweg
560;Edwin Jongedijk & Irene Wilkens;Doe mist hier haildaal niks
559;Harry Niehof;Beloofde laand
558;Neil Diamond;Beautiful noise
557;Erwin de Vries;De tocht van de noakende zunderling
556;Deheleboel;Mis die zo
555;Simon & Garfunkel;The boxer
554;Burdy;Kiender van de eerde
553;ABBA;One of us
552;Alex Vissering;Hoaven van Delfziel
551;Golden Earring;Just a little bit of peace in my heart
550;Bruce Springsteen;I'm on fire
549;Stad;Wilma met de honden
548;Goldband;Noodgeval
547;Erwin de Vries;Veenkolonioal
546;Rob de Nijs;Wat als later nu is
545;Lady GaGa & Bradley Cooper;Shallow
544;Skik;'t Giet zoas 't giet
543;De Tuutjefloiters;Harregat
542;Falco;Jeanny (part 1)
541;Kate Bush;Wuthering heights
540;Doe Maar;De bom
539;Sin‚ad O'Connor;Nothing compares 2u
538;Ede Staal;Grunnegers veur begunners
537;Van Halen;Jump
536;De Dijk;Als ze er niet is
535;Erwin de Vries;Komt weer goud
534;The Rolling Stones;Sympathy for the devil
533;Boudewijn de Groot;Als de rook om je hoofd is verdwenen
532;Alex Vissering;Dollard
531;Dire Straits;Money for nothing
530;The Cats;Times were when
529;Tiktok Tammo;n Mindere dag din guster
528;Amy Winehouse;Back to black
527;Creedence Clearwater Revival;Suzie Q.
