positie;artiest;titel;;;;
804;Suzan & Freek feat. Snelle;De overkant;;;;
803;BZN;If I say the words;;;;
802;Alex Vissering;Ik loop;;;;
801;Mooi Wark;Achter de tent;;;;
800;Meat Loaf;I'd do anything for love;;;;
799;Jim Reeves;He'll have to go;;;;
798;Erwin de Vries;Dit is Kerstmis;;;;
797;Adele;Someone like you;;;;
796;Voorheen De Bende & Pazzipanten;Grunneger bloarkop (boer kaist kou);;;;
795;Imca Marina;Viva Espana;;;;
794;Chris de Burgh;Lady in red;;;;
793;The Rolling Stones;Start me up;;;;
792;Corry & De Rekels;Huilen is voor jou te laat;;;;
791;Jan Henk de Groot;Wies mit die;;;;
790;Claude;Ladada (mon dernier mot);;;;
789;Dr. Hook & The Medicine Show;Sylvia's mother;;;;
788;Tineke Rouw;Daans om de navvel;;;;
787;Fries Wolma & Hennie Dolsma;Wie zingen t zulfde laid;;;;
786;ABBA;Take a chance on me;;;;
785;Bert Hadders & De Nozems;Volluk!;;;;
784;Burdy;Acropolis Adieu;;;;
783;The Cats;Why;;;;
782;Queen;Thank god it's Christmas;;;;
781;Erwin de Vries;Boer en ondernemer;;;;
780;R.E.M.;Everybody hurts;;;;
779;Johan & Henk;Het brandweerlied;;;;
778;Sting;Englishman in New York;;;;
777;Hister;Komt goud;;;;
776;Buddy Holly;Peggy Sue;;;;
775;De Troebadoers;Noar hoes;;;;
774;Nirvana;Come as you are;;;;
773;Whitney Houston;I will always love you;;;;
772;Alex Vissering;Dollard;;;;
771;Doe Maar;De bom;;;;
770;Dolly Parton;9 to 5;;;;
769;The Cats;Times were when;;;;
768;Normaal;Net as gisteren;;;;
767;Toto;Rosanna;;;;
766;Queen;These are the days of our lives;;;;
765;Harry Niehof;Caf op Driefklaai;;;;
764;Harry Styles;As it was;;;;
763;Led Zeppelin;Whole lotta love;;;;
762;Joost Nuissl;Ik ben blij dat ik je niet vergeten ben;;;;
761;Wia Buze;As zee bist doe;;;;
760;Joe Cocker;With a little help from my friends;;;;
759;Marlene Bakker & Noordpool Orkest;Wondern van mien stee;;;;
758;Herman van Veen;Anne;;;;
757;Neil Diamond;Song sung blue;;;;
756;Jetta Post & Maggelan Singers;Deur weer en wind mien stad;;;;
755;Coldplay;Christmas lights;;;;
754;Frans Halsema & Jenny Arean;Vluchten kan niet meer;;;;
753;Alje van Bolhuis;Jong van Bolhoes;;;;
752;Elvis Presley;Jailhouse rock;;;;
751;Demis Roussos;My friend the wind;;;;
750;Harm Tabak & The Flashbacks;Dichterbie;;;;
749;Bee Gees;How deep is your love;;;;
748;Lee Towers;You never walk alone;;;;
747;BZN;Rockin' the trolls;;;;
746;Smokie;Living next door to Alice;;;;
745;Jan Henk de Groot;Spiekerboor;;;;
744;ABBA;Knowing me, knowing you;;;;
743;De Dijk;Bloedend hart;;;;
742;The Rolling Stones;Gimme shelter;;;;
741;Kamahl;The elephant song;;;;
740;Bert Hadders & De Swinders;As zai mor altied bie mie blift;;;;
739;Mariah Carey;All I want for Christmas is you;;;;
738;Bl?f;Harder dan ik hebben kan;;;;
737;Henk Wijngaard;Meissie meissie;;;;
